epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.417,1.00362,2.4081,1.02456,0.88803,0.81519,0.95398,0.40641,1.51806,1.51746,1.55191,0.000414583,0.000414583,0.000414583
2,91.0604,0.81896,1.27737,0.98952,0.93581,0.93656,0.98233,0.81588,0.68593,0.61515,0.96024,0.000814791,0.000814791,0.000814791
3,133.13,0.79699,0.91167,0.99477,0.90878,0.92814,0.97839,0.81457,0.67418,0.64362,0.95302,0.0011985,0.0011985,0.0011985
4,174.964,0.7,0.75245,0.95164,0.92163,0.95948,0.98386,0.68446,1.04686,0.60804,1.13721,0.00117575,0.00117575,0.00117575
5,216.334,0.65831,0.63688,0.93795,0.94143,0.95766,0.98843,0.88786,0.49427,0.39716,0.87614,0.001151,0.001151,0.001151
6,257.721,0.60539,0.56256,0.92364,0.97646,0.972,0.99068,0.93307,0.39505,0.34431,0.84878,0.00112625,0.00112625,0.00112625
7,299.45,0.59368,0.5404,0.92282,0.97339,0.97169,0.99049,0.91695,0.42691,0.3579,0.84656,0.0011015,0.0011015,0.0011015
8,341.265,0.55855,0.4895,0.91073,0.9447,0.94671,0.9875,0.94509,0.32992,0.35236,0.82993,0.00107675,0.00107675,0.00107675
9,383.044,0.52822,0.47398,0.89529,0.98611,0.98629,0.99436,0.93406,0.37868,0.26726,0.83357,0.001052,0.001052,0.001052
10,425.027,0.5167,0.46286,0.89198,0.93759,0.97234,0.99171,0.95548,0.30302,0.31475,0.81478,0.00102725,0.00102725,0.00102725
11,466.665,0.51884,0.44512,0.89455,0.99094,0.98104,0.99436,0.93831,0.3582,0.25932,0.82794,0.0010025,0.0010025,0.0010025
12,507.993,0.49315,0.41766,0.88503,0.9182,0.9581,0.98555,0.91806,0.41385,0.37992,0.84055,0.00097775,0.00097775,0.00097775
13,549.386,0.4668,0.39381,0.87667,0.98235,0.98946,0.99449,0.93245,0.3796,0.2558,0.83022,0.000953,0.000953,0.000953
14,591.061,0.45813,0.39947,0.87754,0.98027,0.97937,0.99435,0.97208,0.27249,0.22907,0.80657,0.00092825,0.00092825,0.00092825
15,632.8,0.4686,0.38637,0.87815,0.98957,0.9955,0.9949,0.96893,0.29437,0.20785,0.81282,0.0009035,0.0009035,0.0009035
16,674.627,0.44686,0.36478,0.87162,0.97438,0.98592,0.99474,0.97467,0.26594,0.21972,0.80246,0.00087875,0.00087875,0.00087875
17,716.614,0.42107,0.36433,0.86954,0.99139,0.99163,0.99467,0.97029,0.28957,0.22268,0.81271,0.000854,0.000854,0.000854
18,758.372,0.42041,0.35243,0.86192,0.99346,0.98561,0.99482,0.96874,0.28344,0.21148,0.80717,0.00082925,0.00082925,0.00082925
19,799.7,0.41029,0.33206,0.85662,0.98941,0.99634,0.99477,0.9814,0.24236,0.1925,0.79649,0.0008045,0.0008045,0.0008045
20,841.597,0.38492,0.32873,0.85352,0.97598,0.9863,0.99431,0.97311,0.27612,0.22206,0.80467,0.00077975,0.00077975,0.00077975
21,883.352,0.39166,0.32664,0.85937,0.99652,0.99745,0.99486,0.98318,0.2414,0.17421,0.79953,0.000755,0.000755,0.000755
22,924.664,0.3812,0.32201,0.85277,0.99658,0.99758,0.99496,0.98725,0.21304,0.1628,0.79297,0.00073025,0.00073025,0.00073025
23,966.11,0.3743,0.31173,0.85265,0.98692,0.98766,0.99489,0.98754,0.20527,0.18044,0.79053,0.0007055,0.0007055,0.0007055
24,1007.48,0.36358,0.30781,0.85338,0.99127,0.99478,0.99499,0.98616,0.22278,0.16989,0.79338,0.00068075,0.00068075,0.00068075
25,1049.04,0.36105,0.30366,0.84799,0.97207,0.98579,0.99476,0.98678,0.21784,0.20735,0.79384,0.000656,0.000656,0.000656
26,1090.41,0.34967,0.2921,0.84626,0.99594,0.99412,0.99491,0.98839,0.20917,0.1646,0.78802,0.00063125,0.00063125,0.00063125
27,1132.17,0.34842,0.28746,0.83895,0.99768,0.99482,0.995,0.98868,0.20351,0.15951,0.78919,0.0006065,0.0006065,0.0006065
28,1173.95,0.34339,0.28291,0.84393,0.99905,0.99832,0.995,0.98957,0.18941,0.14626,0.78587,0.00058175,0.00058175,0.00058175
29,1215.66,0.33726,0.2709,0.83985,0.99958,1,0.995,0.99087,0.19732,0.14958,0.78599,0.000557,0.000557,0.000557
30,1257.29,0.32564,0.26995,0.83689,0.99007,0.99193,0.995,0.98951,0.19802,0.16074,0.78761,0.00053225,0.00053225,0.00053225
31,1299.11,0.31715,0.26056,0.8389,0.99901,0.99853,0.995,0.99216,0.17102,0.13142,0.78218,0.0005075,0.0005075,0.0005075
32,1340.91,0.30674,0.25465,0.83326,0.9991,0.99864,0.995,0.99029,0.1804,0.13508,0.78403,0.00048275,0.00048275,0.00048275
33,1382.57,0.30428,0.24861,0.83267,0.99667,0.99891,0.995,0.99159,0.17325,0.13229,0.78252,0.000458,0.000458,0.000458
34,1424.18,0.3019,0.25575,0.83281,0.99901,0.99688,0.995,0.99328,0.15401,0.12375,0.78017,0.00043325,0.00043325,0.00043325
35,1465.57,0.30318,0.24351,0.8325,0.99952,1,0.995,0.99196,0.16127,0.12673,0.78136,0.0004085,0.0004085,0.0004085
36,1507.02,0.30461,0.23867,0.83215,0.99912,0.99853,0.995,0.99405,0.14838,0.1162,0.77909,0.00038375,0.00038375,0.00038375
37,1548.47,0.28778,0.23596,0.83003,0.99802,0.99659,0.995,0.99336,0.15564,0.12327,0.7804,0.000359,0.000359,0.000359
38,1589.95,0.28539,0.23423,0.82767,0.99777,0.99742,0.995,0.99311,0.15688,0.127,0.77944,0.00033425,0.00033425,0.00033425
39,1631.58,0.27379,0.2269,0.83037,0.99821,0.99621,0.995,0.99408,0.14156,0.11833,0.77762,0.0003095,0.0003095,0.0003095
40,1673.09,0.26412,0.21563,0.8217,0.9995,1,0.995,0.99315,0.14592,0.10949,0.77882,0.00028475,0.00028475,0.00028475
